,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
0,4.3,3.0,1.1,0.1,0
1,5.7,4.4,1.5,0.4,0
2,5.9,3.0,4.2,1.5,1
3,6.1,3.0,4.6,1.4,1
4,6.5,3.0,5.5,1.8,2
5,5.2,3.5,1.5,0.2,0
6,5.6,2.5,3.9,1.1,1
7,7.7,2.6,6.9,2.3,2
8,6.3,3.4,5.6,2.4,2
9,6.2,2.9,4.3,1.3,1
10,5.7,2.9,4.2,1.3,1
11,5.0,3.5,1.6,0.6,0
12,5.6,2.9,3.6,1.3,1
13,6.0,2.2,5.0,1.5,2
14,5.5,2.6,4.4,1.2,1
15,4.6,3.4,1.4,0.3,0
16,5.6,3.0,4.1,1.3,1
17,5.1,3.4,1.5,0.2,0
18,6.4,2.9,4.3,1.3,1
19,6.8,3.0,5.5,2.1,2
20,6.7,3.0,5.0,1.7,1
21,6.5,3.2,5.1,2.0,2
22,6.0,3.4,4.5,1.6,1
23,4.9,3.1,1.5,0.1,0
24,4.9,2.5,4.5,1.7,2
25,6.9,3.2,5.7,2.3,2
26,5.4,3.4,1.5,0.4,0
27,5.5,2.4,3.8,1.1,1
28,6.3,3.3,6.0,2.5,2
29,5.0,3.6,1.4,0.2,0
30,6.1,3.0,4.9,1.8,2
31,6.5,2.8,4.6,1.5,1
32,5.9,3.0,5.1,1.8,2
33,6.3,2.5,4.9,1.5,1
34,4.9,3.6,1.4,0.1,0
35,6.1,2.6,5.6,1.4,2
36,6.4,3.2,4.5,1.5,1
37,7.1,3.0,5.9,2.1,2
38,5.5,3.5,1.3,0.2,0
39,6.4,2.7,5.3,1.9,2
40,5.5,2.3,4.0,1.3,1
41,6.9,3.1,5.4,2.1,2
42,5.8,2.7,3.9,1.2,1
43,5.8,2.7,5.1,1.9,2
44,6.1,2.8,4.0,1.3,1
45,5.9,3.2,4.8,1.8,1
46,6.2,3.4,5.4,2.3,2
47,5.7,2.8,4.1,1.3,1
48,6.6,3.0,4.4,1.4,1
49,5.8,2.8,5.1,2.4,2
50,6.0,2.2,4.0,1.0,1
51,5.8,2.7,4.1,1.0,1
52,4.6,3.6,1.0,0.2,0
53,6.7,3.1,5.6,2.4,2
54,5.1,3.3,1.7,0.5,0
55,6.8,2.8,4.8,1.4,1
56,5.3,3.7,1.5,0.2,0
57,5.2,2.7,3.9,1.4,1
58,6.1,2.8,4.7,1.2,1
59,5.5,2.5,4.0,1.3,1
60,5.5,2.4,3.7,1.0,1
61,5.1,3.5,1.4,0.3,0
62,6.7,3.0,5.2,2.3,2
63,6.0,3.0,4.8,1.8,2
64,5.7,3.0,4.2,1.2,1
65,5.1,2.5,3.0,1.1,1
66,5.7,2.6,3.5,1.0,1
67,4.6,3.1,1.5,0.2,0
68,5.2,3.4,1.4,0.2,0
69,6.9,3.1,5.1,2.3,2
70,5.6,2.8,4.9,2.0,2
71,5.5,4.2,1.4,0.2,0
72,4.8,3.0,1.4,0.3,0
73,4.4,3.2,1.3,0.2,0
74,6.4,3.2,5.3,2.3,2
75,5.0,3.5,1.3,0.3,0
76,5.2,4.1,1.5,0.1,0
77,6.3,2.5,5.0,1.9,2
78,6.8,3.2,5.9,2.3,2
79,5.6,3.0,4.5,1.5,1
80,5.0,3.3,1.4,0.2,0
81,4.4,2.9,1.4,0.2,0
82,4.8,3.1,1.6,0.2,0
83,7.7,3.8,6.7,2.2,2
84,6.3,3.3,4.7,1.6,1
85,5.1,3.7,1.5,0.4,0
86,5.1,3.5,1.4,0.2,0
87,7.9,3.8,6.4,2.0,2
88,6.9,3.1,4.9,1.5,1
89,6.2,2.8,4.8,1.8,2
90,4.4,3.0,1.3,0.2,0
91,5.1,3.8,1.9,0.4,0
92,6.5,3.0,5.2,2.0,2
93,4.9,2.4,3.3,1.0,1
94,5.7,2.8,4.5,1.3,1
95,5.6,2.7,4.2,1.3,1
96,7.2,3.6,6.1,2.5,2
97,6.3,2.9,5.6,1.8,2
98,6.6,2.9,4.6,1.3,1
99,6.4,3.1,5.5,1.8,2
100,7.0,3.2,4.7,1.4,1
101,6.3,2.3,4.4,1.3,1
102,6.5,3.0,5.8,2.2,2
103,7.2,3.0,5.8,1.6,2
104,7.7,2.8,6.7,2.0,2
